observationDate,observationAbout,variableMeasured,value,unit
2021-01-01,dcid:geoId/0644000,dcid:Min_Concentration_AirPollutant_PM10,8.0,dcs:MicrogramsPerCubicMeter
2021-01-01,dcid:geoId/0644000,dcid:Max_Concentration_AirPollutant_PM10,64.0,dcs:MicrogramsPerCubicMeter
2021-01-01,dcid:geoId/0644000,dcid:Median_Concentration_AirPollutant_PM10,27.0,dcs:MicrogramsPerCubicMeter
2021-01-01,dcid:geoId/0644000,dcid:Min_Concentration_AirPollutant_NO2,3.8,dcs:PartsPerBillion
2021-01-01,dcid:geoId/0644000,dcid:Max_Concentration_AirPollutant_NO2,33.4,dcs:PartsPerBillion
2021-01-01,dcid:geoId/0644000,dcid:Median_Concentration_AirPollutant_NO2,23.2,dcs:PartsPerBillion
2021-01-01,dcid:geoId/0644000,dcid:Min_Concentration_AirPollutant_SO2,1.5,dcs:PartsPerBillion
2021-01-01,dcid:geoId/0644000,dcid:Max_Concentration_AirPollutant_SO2,1.5,dcs:PartsPerBillion
2021-01-01,dcid:geoId/0644000,dcid:Median_Concentration_AirPollutant_SO2,1.5,dcs:PartsPerBillion
2021-01-01,dcid:geoId/0644000,dcid:Min_Concentration_AirPollutant_Ozone,0.8,dcs:PartsPerBillion
2021-01-01,dcid:geoId/0644000,dcid:Max_Concentration_AirPollutant_Ozone,32.0,dcs:PartsPerBillion
2021-01-01,dcid:geoId/0644000,dcid:Median_Concentration_AirPollutant_Ozone,3.2,dcs:PartsPerBillion
2021-01-01,dcid:geoId/0644000,dcid:Min_Concentration_AirPollutant_PM2.5,12.0,dcs:MicrogramsPerCubicMeter
2021-01-01,dcid:geoId/0644000,dcid:Max_Concentration_AirPollutant_PM2.5,343.0,dcs:MicrogramsPerCubicMeter
2021-01-01,dcid:geoId/0644000,dcid:Median_Concentration_AirPollutant_PM2.5,78.0,dcs:MicrogramsPerCubicMeter
2021-01-01,dcid:geoId/0644000,dcid:Min_Concentration_AirPollutant_CO,2.5,dcs:PartsPerMillion
2021-01-01,dcid:geoId/0644000,dcid:Max_Concentration_AirPollutant_CO,11.5,dcs:PartsPerMillion
2021-01-01,dcid:geoId/0644000,dcid:Median_Concentration_AirPollutant_CO,6.7,dcs:PartsPerMillion
