Date,Country,City,Specie,count,min,max,median,variance
2021-01-01,US,Los Angeles,temperature,72,5.5,21.0,12.0,214.65
2021-01-01,US,Los Angeles,pm10,24,8.0,64.0,27.0,2267.75
2021-01-01,US,Los Angeles,no2,48,3.8,33.4,23.2,682.05
2021-01-01,US,Los Angeles,wind-gust,26,0.1,7.1,0.7,37.34
2021-01-01,US,Los Angeles,so2,3,1.5,1.5,1.5,0.00
2021-01-01,US,Los Angeles,dew,22,-4.0,8.0,3.0,161.32
2021-01-01,US,Los Angeles,humidity,72,18.0,88.4,47.4,4647.98
2021-01-01,US,Los Angeles,o3,24,0.8,32.0,3.2,1409.85
2021-01-01,US,Los Angeles,pm25,68,12.0,343.0,78.0,63433.20
2021-01-01,US,Los Angeles,pressure,72,1015.0,1023.0,1019.2,47.51
2021-01-01,US,Los Angeles,wind-speed,46,0.1,4.6,1.0,17.77
2021-01-01,US,Los Angeles,co,24,2.5,11.5,6.7,81.43
