"GEO_ID","GEO_ID_F","NAME","NAICS2012","SUBSECTOR","INDGROUP","INDLEVEL","NAICS2012_F","SECTOR","NAICS2012_LABEL","TAXSTAT","TAXSTAT_LABEL","TYPOP","TYPOP_LABEL","YEAR","ESTAB","ESTAB_F","RCPTOT","RCPTOT_F","PAYANN","PAYANN_F","PAYQTR1","PAYQTR1_F","EMP","EMP_F","RCPTOT_S","RCPTOT_S_F","PAYANN_S","PAYANN_S_F","PAYQTR1_S","PAYQTR1_S_F","EMP_S","EMP_S_F",
"Geographic identifier code","Geo Footnote","Geographic Area Name","2012 NAICS code","SUBSECTOR","Industry group","Industry level","2012 NAICS Footnote","NAICS economic sector ","Meaning of NAICS code","Tax status code","Meaning of Tax status code","Type of operation code","Meaning of Type of operation code","Year","Number of establishments","Flag for number of establishments","Sales, value of shipments, or revenue ($1,000)","Flag for sales, value of shipments, or revenue","Annual payroll ($1,000)","Flag for annual payroll","First-quarter payroll ($1,000)","Flag for first-quarter payroll","Number of employees","Flag for number of employees","Relative standard error of estimate of the value of business done","Flag for relative standard error of value of sales, shipments, receipts, revenue, or business done","Relative standard error of annual payroll (%)","Flag for relative standard error of annual payroll (%)","Relative standard error of estimate of first-quarter payroll, employees wages (%)","Flag for relative standard error of estimate of first-quarter payroll","Relative standard error of number of employees (%)","Flag for relative standard error of number of employees (%)",
"0100000US","null","United States","21","null","null","2","null","21","Mining, quarrying, and oil and gas extraction","00","All establishments","00","All establishments","2012","25417","null","529239818","null","59461950","null","N","N","848189","null","N","N","N","N","N","N","N","N",
"0100000US","null","United States","22","null","null","2","null","22","Utilities","00","All establishments","00","All establishments","2012","17595","null","531890695","null","58922951","null","17463405","null","651234","null","N","N","N","N","N","N","N","N",
"0100000US","null","United States","23","null","null","2","null","23","Construction","00","All establishments","00","All establishments","2012","598065","null","1366427090","null","272546238","null","60892595","null","5669623","null","0.2","null","0.2","null","0.2","null","0.2","null",
"0100000US","null","United States","31-33","null","null","2","null","31","Manufacturing","00","All establishments","00","All establishments","2012","297191","null","5696729632","null","593397004","null","N","N","11214165","null","N","N","N","N","N","N","N","N",
"0100000US","null","United States","42","null","null","2","null","42","Wholesale trade","00","All establishments","00","All establishments","2012","419464","null","7899978591","null","362121460","null","90683201","null","5881913","null","N","N","N","N","N","N","N","N",
"0100000US","null","United States","42","null","null","2","null","42","Wholesale trade","00","All establishments","10","Merchant wholesalers, except manufacturers' sales branches and offices","2012","355983","null","5208023478","null","287549597","null","70704319","null","4880666","null","N","N","N","N","N","N","N","N",
"0100000US","null","United States","42","null","null","2","null","42","Wholesale trade","00","All establishments","20","Manufacturers' sales branches and offices","2012","20048","null","2052484796","null","60976137","null","16826105","null","718005","null","N","N","N","N","N","N","N","N",
"0100000US","null","United States","44-45","null","null","2","null","44","Retail trade","00","All establishments","00","All establishments","2012","1062083","null","4219821871","null","369001350","null","90038805","null","14703529","null","N","N","N","N","N","N","N","N",
"0100000US","null","United States","48-49(104)","null","null","2","104","48","Transportation and warehousing(104)","00","All establishments","00","All establishments","2012","213809","null","730541303","null","183840920","null","45286363","null","4305464","null","N","N","N","N","N","N","N","N",
"0400000US01","null","Alabama","21","null","null","2","null","21","Mining, quarrying, and oil and gas extraction","00","All establishments","00","All establishments","2012","244","null","4722966","null","593200","null","N","N","8492","null","N","N","N","N","N","N","N","N",
"0400000US01","null","Alabama","22","null","null","2","null","22","Utilities","00","All establishments","00","All establishments","2012","424","null","Q","Q","1361953","null","454940","null","15454","null","N","N","N","N","N","N","N","N",
"0400000US01","null","Alabama","23","null","null","2","null","23","Construction","00","All establishments","00","All establishments","2012","6869","null","17920322","null","3313715","null","782774","null","78690","null","1.1","null","0.8","null","0.9","null","1.2","null",
"0400000US01","null","Alabama","31-33","null","null","2","null","31","Manufacturing","00","All establishments","00","All establishments","2012","4283","null","124809759","null","11099489","null","N","N","232650","null","N","N","N","N","N","N","N","N",
"0400000US01","null","Alabama","42","null","null","2","null","42","Wholesale trade","00","All establishments","00","All establishments","2012","5408","null","75844516","null","3669258","null","901695","null","73312","null","N","N","N","N","N","N","N","N",
"0400000US01","null","Alabama","42","null","null","2","null","42","Wholesale trade","00","All establishments","10","Merchant wholesalers, except manufacturers' sales branches and offices","2012","4600","null","57746565","null","2894745","null","706805","null","60332","null","N","N","N","N","N","N","N","N",
"0400000US01","null","Alabama","42","null","null","2","null","42","Wholesale trade","00","All establishments","20","Manufacturers' sales branches and offices","2012","282","null","10858345","null","623482","null","160411","null","9733","null","N","N","N","N","N","N","N","N",
"0400000US01","null","Alabama","44-45","null","null","2","null","44","Retail trade","00","All establishments","00","All establishments","2012","18211","null","58564965","null","5123078","null","1254165","null","218531","null","N","N","N","N","N","N","N","N",
"0400000US01","null","Alabama","48-49(104)","null","null","2","104","48","Transportation and warehousing(104)","00","All establishments","00","All establishments","2012","2836","null","8422354","null","2460237","null","577477","null","57835","null","N","N","N","N","N","N","N","N",
